42.16965 0.05403 0.03549 0.02618 0.02152 0.01914 0.01835 0.01772 0.01724 0.01742
47.31513 0.03883 0.02534 0.01853 0.01510 0.01363 0.01312 0.01244 0.01239 0.01248
53.08844 0.02716 0.01776 0.01297 0.01051 0.00947 0.00915 0.00847 0.00852 0.00881
59.56621 0.01824 0.01208 0.00895 0.00718 0.00658 0.00628 0.00570 0.00583 0.00585
66.83439 0.01271 0.00814 0.00597 0.00471 0.00443 0.00412 0.00380 0.00389 0.00393
74.98942 0.00729 0.00515 0.00369 0.00296 0.00265 0.00255 0.00223 0.00233 0.00250
84.13951 0.00441 0.00292 0.00220 0.00180 0.00158 0.00154 0.00134 0.00130 0.00150
94.40609 0.00395 0.00248 0.00183 0.00156 0.00139 0.00124 0.00120 0.00116 0.00129
105.92537 0.00507 0.00327 0.00236 0.00195 0.00173 0.00163 0.00165 0.00158 0.00151
118.85022 0.00343 0.00230 0.00160 0.00139 0.00115 0.00107 0.00106 0.00109 0.00107
133.35214 0.00035 0.00027 0.00018 0.00022 0.00012 0.00007 0.00004 0.00013 0.00010
149.62357 -0.00082 -0.00052 -0.00042 -0.00034 -0.00028 -0.00034 -0.00031 -0.00029 -0.00027
